dpt,flux,tonnage,annee,mois
8,LAMPE,1.153,2010,3
8,LAMPE,4.614,2010,3
8,LAMPE,0.000,2010,3
8,LAMPE,4.043,2010,3
8,GEMF,37.017,2011,3
8,GEMHF,56.213,2012,3
8,PAM,54.780,2012,3
8,ECRAN,47.340,2012,3
8,GEMF,38.547,2012,3
8,PAM,2.419,2012,3
8,ECRAN,0.062,2012,3
8,GEMF,258.490,2010,3
8,ECRAN,311.520,2010,3
8,PAM,420.420,2010,3
8,PAM,0.000,2011,3
8,PAM,26.400,2011,3
8,PAM,20.752,2011,3
8,GEMHF,0.000,2011,3
8,GEMHF,108.590,2011,3
8,GEMHF,41.077,2011,3
8,GEMF,0.000,2011,3
8,GEMF,60.400,2011,3
8,GEMF,14.701,2011,3
8,ECRAN,0.000,2011,3
8,ECRAN,45.460,2011,3
8,ECRAN,21.836,2011,3
8,PAM,23.646,2012,3
8,ECRAN,21.961,2012,3
8,GEMHF,35.734,2012,3
8,GEMF,12.053,2012,3
8,PAM,28.205,2012,3
8,ECRAN,54.550,2012,3
8,GEMHF,103.470,2012,3
8,GEMF,46.800,2012,3
8,LAMPE,1.498,2011,3
8,LAMPE,5.109,2011,3
8,LAMPE,0.000,2011,3
8,LAMPE,3.945,2011,3
8,ECRAN,433.904,2011,3
8,GEMF,304.030,2011,3
8,GEMHF,513.080,2011,3
8,PAM,525.840,2011,3
8,PAM,4.340,2012,3
8,GEMF,0.030,2012,3
8,GEMHF,47.802,2011,3
8,PAM,50.491,2011,3
8,PAM,1.136,2011,3
8,PAM,28.316,2012,2
8,ECRAN,27.797,2012,2
8,GEMHF,35.211,2012,2
8,GEMF,12.931,2012,2
8,PAM,33.435,2012,2
8,ECRAN,36.410,2012,2
8,GEMHF,99.480,2012,2
8,GEMF,47.020,2012,2
8,LAMPE,1.579,2012,3
8,LAMPE,7.456,2012,3
8,LAMPE,0.000,2012,3
8,LAMPE,5.450,2012,3
8,ECRAN,1.000,2012,3
8,GEMF,1.160,2012,3
8,GEMHF,0.780,2012,3
8,PAM,4.620,2012,3
8,ECRAN,512.660,2012,3
8,GEMF,325.340,2012,3
8,GEMHF,513.060,2012,3
8,PAM,600.140,2012,3
9,ND,69.000,2010,2
9,ND,1236.000,2010,2
9,ND,498.000,2010,2
9,ND,0.000,2010,2
9,ND,0.000,2010,2
9,ND,3.214,2010,2
9,ND,2.197,2010,2
9,PAM,0.000,2010,3
9,GEMF,0.000,2010,3
9,LAMPE,0.620,2010,3
9,LAMPE,0.679,2010,3
9,LAMPE,0.000,2010,3
9,LAMPE,1.584,2010,3
9,PAM,0.440,2012,3
9,PAM,0.000,2011,3
9,PAM,14.520,2011,3
9,PAM,164.980,2011,3
9,PAM,54.454,2011,3
9,GEMHF,0.000,2011,3
9,GEMHF,46.679,2011,3
9,GEMHF,479.763,2011,3
9,GEMHF,86.466,2011,3
9,GEMF,0.000,2011,3
9,GEMF,21.033,2011,3
9,GEMF,217.065,2011,3
9,GEMF,46.040,2011,3
9,ECRAN,0.000,2011,3
9,ECRAN,31.130,2011,3
9,ECRAN,199.205,2011,3
9,ECRAN,57.490,2011,3
9,PAM,74.315,2012,3
9,ECRAN,70.049,2012,3
9,GEMHF,84.980,2012,3
9,GEMF,49.070,2012,3
9,PAM,187.172,2012,3
9,ECRAN,213.397,2012,3
9,GEMHF,472.659,2012,3
9,GEMF,215.421,2012,3
9,PAM,12.193,2012,3
9,ECRAN,23.394,2012,3
9,GEMHF,59.473,2012,3
9,GEMF,24.075,2012,3
9,LAMPE,1.503,2011,3
9,LAMPE,1.670,2011,3
9,LAMPE,0.000,2011,3
9,LAMPE,2.077,2011,3
9,PAM,2.342,2012,3
9,PAM,44.229,2012,2
9,ECRAN,44.826,2012,2
9,GEMHF,69.875,2012,2
9,GEMF,26.844,2012,2
9,PAM,252.744,2012,2
9,ECRAN,314.510,2012,2
9,GEMHF,522.654,2012,2
9,GEMF,267.071,2012,2
9,PAM,12.612,2012,2
9,ECRAN,27.088,2012,2
9,GEMHF,37.817,2012,2
9,GEMF,15.699,2012,2
9,LAMPE,2.112,2012,3
9,LAMPE,0.976,2012,3
9,LAMPE,0.000,2012,3
9,LAMPE,2.065,2012,3
9,ECRAN,0.000,2012,3
9,GEMF,0.000,2012,3
9,GEMHF,0.000,2012,3
9,PAM,3.450,2012,3
10,ND,415.000,2010,2
10,ND,286.000,2010,2
10,ND,0.000,2010,2
10,ND,9.656,2010,2
10,ND,505.493,2010,2
10,ND,590.806,2010,2
10,ND,4.000,2010,2
10,ECRAN,0.630,2011,3
10,ECRAN,209.406,2011,3
10,ECRAN,0.000,2010,3
10,LAMPE,1.861,2010,3
10,LAMPE,5.631,2010,3
10,LAMPE,0.000,2010,3
10,LAMPE,160.996,2010,3
10,GEMF,158.293,2011,3
10,GEMHF,338.790,2012,3
10,PAM,303.175,2012,3
10,ECRAN,298.345,2012,3
10,GEMF,210.550,2012,3
10,PAM,3.060,2012,3
10,GEMHF,0.120,2012,3
10,PAM,50.118,2011,3
10,GEMHF,277.751,2011,3
10,GEMF,134.028,2011,3
10,ECRAN,83.170,2011,3
10,PAM,8.720,2012,3
10,ECRAN,15.220,2012,3
10,GEMHF,7.180,2012,3
10,GEMF,5.140,2012,3
10,PAM,46.014,2012,3
10,ECRAN,128.180,2012,3
10,GEMHF,275.917,2012,3
10,GEMF,133.700,2012,3
10,LAMPE,2.280,2011,3
10,LAMPE,7.515,2011,3
10,LAMPE,0.000,2011,3
10,LAMPE,53.961,2011,3
10,PAM,3.920,2012,3
10,GEMHF,0.520,2012,3
10,PAM,380.560,2012,3
10,GEMHF,313.570,2012,3
10,GEMF,260.380,2012,3
10,ECRAN,431.858,2012,3
10,GEMHF,201.495,2011,3
10,GEMHF,1.240,2011,3
10,PAM,175.762,2011,3
10,PAM,3.983,2011,3
10,PAM,10.600,2012,2
10,ECRAN,14.900,2012,2
10,GEMHF,3.260,2012,2
10,GEMF,7.120,2012,2
10,PAM,41.880,2012,2
10,ECRAN,65.960,2012,2
10,GEMHF,279.140,2012,2
10,GEMF,142.040,2012,2
10,LAMPE,1.944,2012,3
10,LAMPE,8.574,2012,3
10,LAMPE,0.000,2012,3
10,LAMPE,11.582,2012,3
10,ECRAN,475.470,2012,3
10,GEMF,275.270,2012,3
10,GEMHF,333.320,2012,3
10,PAM,437.520,2012,3
10,ECRAN,0.000,2012,3
10,GEMF,0.000,2012,3
10,GEMHF,0.500,2012,3
10,PAM,7.000,2012,3
11,ND,359.000,2010,2
11,ND,351.000,2010,2
11,ND,0.000,2010,2
11,ND,451.314,2010,2
11,ND,9.225,2010,2
11,ND,9.386,2010,2
11,ECRAN,260.303,2011,3
11,PAM,0.000,2010,3
11,LAMPE,0.000,2010,3
11,LAMPE,4.051,2010,3
11,LAMPE,0.000,2010,3
11,LAMPE,4.452,2010,3
11,GEMF,0.042,2011,3
11,GEMF,132.369,2011,3
11,ECRAN,342.210,2012,3
11,PAM,267.716,2012,3
11,GEMHF,263.131,2012,3
11,GEMF,218.222,2012,3
11,PAM,2.627,2012,3
11,GEMHF,0.451,2012,3
11,GEMF,0.088,2012,3
11,PAM,0.000,2011,3
11,PAM,13.040,2011,3
11,PAM,42.769,2011,3
11,GEMHF,0.000,2011,3
11,GEMHF,136.388,2011,3
11,GEMHF,51.212,2011,3
11,GEMF,0.000,2011,3
11,GEMF,62.263,2011,3
11,GEMF,22.155,2011,3
11,ECRAN,0.000,2011,3
11,ECRAN,45.775,2011,3
11,ECRAN,34.730,2011,3
11,PAM,50.194,2012,3
