Siren_Siret;Campagne;Type_pile;Nature_pile;Tonnage;Departement;Origine_collecte;Date_creation;Date_modification
3,0731E+13;Collecte 2009;AUTOM;;0.0;3;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;3;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;3;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;4;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;4;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;4;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;5;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;5;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;5;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;6;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;6;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;6;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;7;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;7;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;7;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;8;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;8;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;8;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;9;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;9;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;9;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;10;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;10;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;10;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;11;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;11;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;11;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;12;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;12;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;12;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;13;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;13;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;13;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;14;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;14;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;14;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;15;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;15;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;15;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;16;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;16;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;16;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;17;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;17;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;17;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;18;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;18;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;18;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;19;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;19;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;19;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;21;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;21;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;21;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;22;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;22;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;22;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;23;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;23;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;23;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;24;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;24;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;24;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;25;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;25;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;25;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;26;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;26;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;26;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;27;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;27;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;27;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;28;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;28;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;28;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;29;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;29;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;29;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;30;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;30;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;30;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;31;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;31;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;31;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;32;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;32;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;32;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;33;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;33;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;33;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;34;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;34;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;34;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;35;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;35;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;35;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;36;DISTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;36;COMM;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;36;AUTR;2010-06-10T09:34:16;2010-06-10T09:34:16
3,0731E+13;Collecte 2009;AUTOM;;0.0;37;DISTR;2010-06-10T09:34:17;2010-06-10T09:34:17
3,0731E+13;Collecte 2009;AUTOM;;0.0;37;COMM;2010-06-10T09:34:17;2010-06-10T09:34:17
3,0731E+13;Collecte 2009;AUTOM;;0.0;37;AUTR;2010-06-10T09:34:17;2010-06-10T09:34:17
3,0731E+13;Collecte 2009;AUTOM;;0.0;38;DISTR;2010-06-10T09:34:17;2010-06-10T09:34:17
3,0731E+13;Collecte 2009;AUTOM;;0.0;38;COMM;2010-06-10T09:34:17;2010-06-10T09:34:17
