Siren_Siret;Campagne;Departement;Flux;Origine;Tonnage;Date_creation;Date_modification
"48345043300000";"CMD 2006";"90";"ND";"ND";"7.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2006";"91";"ND";"ND";"342.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2006";"92";"ND";"ND";"2.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2006";"93";"ND";"ND";"68.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2006";"94";"ND";"ND";"177.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2006";"95";"ND";"ND";"192.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"86";"ND";"ND";"927.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48232394600000";"CMD 2006";"33";"ND";"ND";"0.608";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48232394600000";"CMD 2006";"35";"ND";"ND";"2.22";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48232394600000";"CMD 2006";"62";"ND";"ND";"1.414";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48232394600000";"CMD 2006";"67";"ND";"ND";"0.626";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48232394600000";"CMD 2006";"69";"ND";"ND";"0.798";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"41936563000000";"CMD 2006";"39";"ND";"ND";"25.7";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"41936563000000";"CMD 2006";"67";"ND";"ND";"221.29";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"13";"ND";"ND";"0.5";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"30";"ND";"ND";"0.7";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"37";"ND";"ND";"0.5";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"44";"ND";"ND";"4.4";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"59";"ND";"ND";"1.4";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"60";"ND";"ND";"2.8";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"69";"ND";"ND";"1.5";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"77";"ND";"ND";"1.2";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"83";"ND";"ND";"1.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48774196900000";"CMD 2006";"95";"ND";"ND";"1.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"85";"ND";"ND";"4888.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"84";"ND";"ND";"2106.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"83";"ND";"ND";"4253.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"82";"ND";"ND";"582.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"81";"ND";"ND";"661.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"80";"ND";"ND";"2518.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
